"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[0,0,0]","[0,0,0]","[0,0,0]"
"[0,0,0]","[0,0,0]","[0,0,0]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[0,0,0]","[0,0,0]"
"[0,0,0]","[255,168,60]","[0,0,0]","[186,248,25]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[186,248,25]","[0,0,0]","[255,168,60]"
"[0,0,0]","[255,168,60]","[0,0,0]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[0,0,0]","[255,168,60]"
"[0,0,0]","[255,168,60]","[255,168,60]","[228,92,16]","[255,168,60]","[186,248,25]","[255,168,60]","[255,168,60]","[186,248,25]","[255,168,60]","[228,92,16]","[255,168,60]","[255,168,60]"
"[0,0,0]","[255,168,60]","[255,168,60]","[228,92,16]","[255,168,60]","[228,92,16]","[255,168,60]","[255,168,60]","[228,92,16]","[255,168,60]","[228,92,16]","[255,168,60]","[255,168,60]"
"[0,0,0]","[0,0,0]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[228,92,16]"
"[0,0,0]","[0,0,0]","[0,0,0]","[186,248,25]","[255,168,60]","[255,168,60]","[228,92,16]","[228,92,16]","[255,168,60]","[255,168,60]","[186,248,25]","[228,92,16]","[228,92,16]"
"[0,0,0]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[255,168,60]","[255,168,60]","[255,168,60]","[186,248,25]","[186,248,25]","[186,248,25]","[255,168,60]"
"[228,92,16]","[228,92,16]","[255,168,60]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[186,248,25]","[255,168,60]"
"[228,92,16]","[255,168,60]","[255,168,60]","[255,168,60]","[228,92,16]","[228,92,16]","[255,168,60]","[228,92,16]","[228,92,16]","[186,248,25]","[186,248,25]","[228,92,16]","[0,0,0]"
"[228,92,16]","[228,92,16]","[255,168,60]","[228,92,16]","[228,92,16]","[228,92,16]","[255,168,60]","[186,248,25]","[228,92,16]","[228,92,16]","[228,92,16]","[186,248,25]","[0,0,0]"
"[228,92,16]","[228,92,16]","[255,168,60]","[228,92,16]","[228,92,16]","[228,92,16]","[255,168,60]","[228,92,16]","[228,92,16]","[186,248,25]","[186,248,25]","[186,248,25]","[0,0,0]"
"[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[228,92,16]","[255,168,60]","[186,248,25]","[186,248,25]","[186,248,25]","[228,92,16]","[0,0,0]","[0,0,0]"
"[0,0,0]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[255,168,60]","[0,0,0]","[0,0,0]","[228,92,16]","[228,92,16]","[228,92,16]","[0,0,0]","[0,0,0]"
"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[228,92,16]","[228,92,16]","[228,92,16]","[0,0,0]","[0,0,0]"
